intentType,obs_collection,provenance_name,instrument_name,project,filters,wavelength_region,target_name,target_classification,obs_id,s_ra,s_dec,dataproduct_type,proposal_pi,calib_level,t_min,t_max,t_exptime,em_min,em_max,obs_title,t_obs_release,proposal_id,proposal_type,sequence_number,s_region,jpegURL,dataURL,dataRights,mtFlag,srcDen,obsid,objID
science,HST,HAP-MVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-3370,GALAXY;SPIRAL,hst_skycell-p1717x17y08_wfc3_uvis_f555w_all,161.76942375,17.27318055556,image,,3,55290.67773289,56308.83375059,1491.0,441.7,659.1,,56489.9700694,,,,POLYGON 161.79006047789215 17.243889218964306 161.7711665985973 17.246783439502668 161.76642195160693 17.24276146851362 161.76009535149447 17.248501075738705 161.74309842583526 17.25111787602421 161.74437054560826 17.262810989108488 161.73214741002639 17.273958587471565 161.74708186001075 17.287120476424196 161.74816410095173 17.296591107283913 161.75635094214695 17.295263817351056 161.7672146049894 17.304751360052844 161.78200657171348 17.290999141378133 161.79452554971527 17.288913295772993 161.79369114953954 17.280110964919597 161.8014724093336 17.272848019244385 161.79215493114202 17.264784166900547 161.79006047789215 17.243889218964306,mast:HST/product/hst_skycell-p1717x17y08_wfc3_uvis_f555w_all_drc.jpg,mast:HST/product/hst_skycell-p1717x17y08_wfc3_uvis_f555w_all_drc.fits,PUBLIC,False,,83772887,663089537
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-3370,GALAXY;SPIRAL,ib1f19lmq,161.76942375,17.27318055556,image,"Riess, Adam",3,55290.68351994213,55290.68762862268,355.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55655.88388885,11570,GO,,POLYGON 161.7901167014871 17.243883984170317 161.74327616771353 17.251262158581454 161.74566014927353 17.273832522877274 161.79250632038122 17.26645379558292 161.7901167014871 17.243883984170317,mast:HST/product/ib1f19lmq_drz.jpg,mast:HST/product/ib1f19lmq_drz.fits,PUBLIC,False,,23821136,920268486
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-3370,GALAXY;SPIRAL,ib1f19lkq,161.76942375,17.27318055556,image,"Riess, Adam",3,55290.67773290509,55290.68184158565,355.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55655.75061342,11570,GO,,POLYGON 161.7901167014871 17.243883984170317 161.74327616771353 17.251262158581454 161.74566014927353 17.273832522877274 161.79250632038122 17.26645379558292 161.7901167014871 17.243883984170317,mast:HST/product/ib1f19lkq_drz.jpg,mast:HST/product/ib1f19lkq_drz.fits,PUBLIC,False,,23821135,920268528
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-3370,GALAXY;SPIRAL,hst_11570_19_wfc3_uvis_f814w_ib1f19,161.76942375,17.27318055556,image,"Riess, Adam",3,55290.68351993,55290.68762861,355.0,702.5,961.2,,55655.88388885,11570,HAP,,POLYGON 161.79003181645172 17.243921546287776 161.74310702087354 17.251173626983732 161.74562788497806 17.27386738852311 161.7922586834868 17.26639464489932 161.79003181645172 17.243921546287776 POLYGON 161.79233940521 17.266768824491756 161.74567394044496 17.274230577174613 161.7482531026924 17.29663816781969 161.7945322065352 17.288922741482622 161.79233940521 17.266768824491756,mast:HST/product/hst_11570_19_wfc3_uvis_f814w_ib1f19_drc.jpg,mast:HST/product/hst_11570_19_wfc3_uvis_f814w_ib1f19_drc.fits,PUBLIC,False,,26506371,935436099
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-3370,GALAXY;SPIRAL,hst_11570_19_wfc3_uvis_f555w_ib1f19,161.76942375,17.27318055556,image,"Riess, Adam",3,55290.67773289,55290.68184157,355.0,441.7,659.1,,55655.75061342,11570,HAP,,POLYGON 161.7900202929324 17.24392154748129 161.74310702087354 17.251173626983732 161.74562788497806 17.27386738852311 161.7922586834868 17.26639464489932 161.7900202929324 17.24392154748129 POLYGON 161.7922356751476 17.266724814188137 161.74567394044496 17.274230577174613 161.7481608919095 17.296605141631574 161.7945322065352 17.288922741482622 161.7922356751476 17.266724814188137,mast:HST/product/hst_11570_19_wfc3_uvis_f555w_ib1f19_drc.jpg,mast:HST/product/hst_11570_19_wfc3_uvis_f555w_ib1f19_drc.fits,PUBLIC,False,,26506382,935436133
science,HST,HAP-SVM,WFC3/UVIS,HAP,detection,,NGC-3370,GALAXY;SPIRAL,hst_11570_19_wfc3_uvis_total_ib1f19,161.76942375,17.27318055556,image,"Riess, Adam",3,55290.67773289,55290.68762861,710.0,,,,55655.88388885,11570,HAP,,POLYGON 161.79006639202535 17.24396556491424 161.74310702087354 17.251173626983732 161.74568551612398 17.273834378534495 161.7922586793318 17.26636162823479 161.79006639202535 17.24396556491424 POLYGON 161.7922356792985 17.2667578308527 161.74568546167038 17.274263595172986 161.7481608919095 17.296605141631574 161.79450914475223 17.288856711067528 161.7922356792985 17.2667578308527,mast:HST/product/hst_11570_19_wfc3_uvis_total_ib1f19_drc.jpg,mast:HST/product/hst_11570_19_wfc3_uvis_total_ib1f19_drc.fits,PUBLIC,False,,26506385,935436194
science,HST,CALWF3,WFC3/UVIS,HST,F814W,OPTICAL,NGC-3021,GALAXY;SPIRAL,ib1f43p9q,147.73735,33.55523611111,image,"Riess, Adam",3,55350.26087075232,55350.26497943287,355.0,702.5,961.2,Narrowing in on the Hubble Constant and Dark Energy,55715.4919329,11570,GO,,POLYGON 147.77830640789486 33.54608531718452 147.7319913789904 33.522312628790054 147.7162888370166 33.54084033068708 147.76260947823909 33.56461886419958 147.77830640789486 33.54608531718452,mast:HST/product/ib1f43p9q_drz.jpg,mast:HST/product/ib1f43p9q_drz.fits,PUBLIC,False,,23821328,920237536
science,HST,CALWF3,WFC3/UVIS,HST,F555W,OPTICAL,NGC-3021,GALAXY;SPIRAL,ib1f43p7q,147.73735,33.55523611111,image,"Riess, Adam",3,55350.25508371528,55350.25919239583,355.0,441.7,659.1,Narrowing in on the Hubble Constant and Dark Energy,55715.49170142,11570,GO,,POLYGON 147.77830640789486 33.54608531718452 147.7319913789904 33.522312628790054 147.7162888370166 33.54084033068708 147.76260947823909 33.56461886419958 147.77830640789486 33.54608531718452,mast:HST/product/ib1f43p7q_drz.jpg,mast:HST/product/ib1f43p7q_drz.fits,PUBLIC,False,,23821327,920237583
science,HST,HAP-SVM,WFC3/UVIS,HAP,F814W,OPTICAL,NGC-3021,GALAXY;SPIRAL,hst_11570_43_wfc3_uvis_f814w_ib1f43,147.73735,33.55523611111,image,"Riess, Adam",3,55350.26087075,55350.26497943,355.0,702.5,961.2,,55715.4919329,11570,HAP,,POLYGON 147.73188850375146 33.52212907138238 147.71625317342563 33.540869613251665 147.7624211906854 33.56442149643051 147.77822261622427 33.54609330941268 147.73188850375146 33.52212907138238 POLYGON 147.76223636097322 33.56471868060456 147.71598901607663 33.54114470286219 147.70050539094174 33.559641172752336 147.74665269618137 33.5828467230892 147.76223636097322 33.56471868060456,mast:HST/product/hst_11570_43_wfc3_uvis_f814w_ib1f43_drc.jpg,mast:HST/product/hst_11570_43_wfc3_uvis_f814w_ib1f43_drc.fits,PUBLIC,False,,26506455,935224605
science,HST,HAP-SVM,WFC3/UVIS,HAP,F555W,OPTICAL,NGC-3021,GALAXY;SPIRAL,hst_11570_43_wfc3_uvis_f555w_ib1f43,147.73735,33.55523611111,image,"Riess, Adam",3,55350.25508371,55350.25919239,355.0,441.7,659.1,,55715.49170142,11570,HAP,,POLYGON 147.77815656180812 33.54602729672162 147.73188850375146 33.52212907138238 147.71621357568685 33.540814578127815 147.7624343984378 33.56442149397687 147.77815656180812 33.54602729672162 POLYGON 147.71594940349394 33.54114469542629 147.70051861773513 33.55959715466103 147.74665269618137 33.5828467230892 147.76223636389255 33.56472968615902 147.71594940349394 33.54114469542629,mast:HST/product/hst_11570_43_wfc3_uvis_f555w_ib1f43_drc.jpg,mast:HST/product/hst_11570_43_wfc3_uvis_f555w_ib1f43_drc.fits,PUBLIC,False,,26506468,935224632
