ID,Per,RAJ2000,DEJ2000,F555W,e_F555W,F814W,e_F814W,F350LP,e_F350LP,AmpV,AmpI
J121852.75+472154.7,18.656,184.719788,47.365189,25.197,0.13,24.434,0.107,25.166,0.049,0.511,0.365
J121900.66+471532.1,18.781,184.752762,47.258915,25.057,0.197,23.929,0.196,,,0.559,0.345
J121908.51+471626.3,18.809,184.785477,47.273968,25.067,0.123,23.93,0.12,,,0.564,0.291
J121925.10+471130.6,18.992,184.854584,47.19183,24.937,0.045,23.721,0.054,,,0.463,0.242
J121858.30+471638.9,19.009,184.742935,47.277485,25.367,0.161,23.968,0.176,,,0.564,0.297
J121858.97+471539.7,19.218,184.745697,47.261028,25.231,0.1,24.134,0.093,,,0.525,0.325
J121855.50+471859.1,19.544,184.731232,47.316414,25.331,0.184,24.311,0.258,,,0.477,0.317
J121856.48+471621.2,19.959,184.735321,47.272549,25.629,0.155,24.211,0.088,,,0.574,0.389
J121848.62+471858.0,20.09,184.702591,47.316124,24.633,0.093,23.484,0.125,,,0.473,0.243
J121853.10+471539.8,20.137,184.721268,47.261047,24.564,0.098,23.539,0.091,,,0.468,0.26
J121850.76+471547.2,20.292,184.711502,47.263123,25.104,0.096,24.014,0.071,,,0.454,0.26
J121858.64+471759.6,20.481,184.744354,47.299896,24.727,0.23,23.681,0.33,,,0.391,0.292
J121850.80+472105.4,20.68,184.711655,47.35149,25.557,0.097,24.235,0.136,,,0.526,0.338
J121858.49+471658.4,21.044,184.743729,47.282898,24.821,0.092,23.936,0.127,,,0.493,0.358
J121856.11+472020.2,21.052,184.73381,47.338947,24.96,0.237,23.859,0.164,,,0.44,0.287
J121859.86+471613.3,21.517,184.74942,47.270348,25.342,0.088,23.955,0.095,,,0.542,0.321
J121903.85+471750.3,21.571,184.766052,47.29731,25.166,0.156,23.714,0.158,,,0.465,0.308
J121853.55+471512.5,21.587,184.723129,47.25346,25.114,0.175,24.02,0.228,,,0.547,0.28
J121845.61+471957.5,21.697,184.690048,47.332642,24.935,0.066,23.968,0.093,,,0.436,0.26
J121854.60+471859.0,21.723,184.727509,47.316395,25.04,0.169,24.073,0.202,,,0.49,0.313
J121855.80+472033.0,22.112,184.732498,47.342503,25.292,0.115,24.277,0.137,,,0.437,0.266
J121854.56+471550.1,22.247,184.727325,47.263916,24.636,0.142,23.482,0.144,,,0.559,0.344
J121854.38+471903.2,22.378,184.726578,47.317558,25.043,0.176,23.883,0.191,,,0.54,0.328
J121852.64+471850.7,22.443,184.71933,47.314091,24.46,0.17,23.424,0.196,,,0.438,0.281
J121859.69+471539.2,22.614,184.748718,47.260891,24.538,0.128,23.73,0.165,,,0.492,0.375
J121847.59+472000.1,22.683,184.698273,47.333374,24.544,0.064,23.506,0.076,,,0.57,0.355
J121851.51+471840.7,22.785,184.714615,47.311298,25.12,0.261,23.943,0.194,,,0.575,0.313
J121854.54+471917.6,22.872,184.727234,47.321552,24.503,0.137,23.612,0.161,,,0.644,0.38
J121847.83+472013.0,22.873,184.699295,47.336933,25.036,0.084,23.807,0.096,,,0.522,0.299
J121859.73+471540.9,23.126,184.748886,47.261349,25.491,0.168,24.122,0.082,,,0.639,0.384
J121852.62+471507.2,23.343,184.719254,47.252003,24.637,0.104,23.651,0.084,,,0.543,0.324
J121853.74+471858.5,23.355,184.723907,47.316254,25.494,0.217,24.031,0.152,,,0.523,0.333
J121908.16+471646.1,23.733,184.784012,47.279461,25.008,0.086,23.818,0.055,,,0.534,0.289
J121904.00+471449.7,23.892,184.766663,47.247139,24.857,0.092,23.822,0.085,,,0.432,0.319
J121855.96+471629.8,24.0,184.73317,47.274952,24.419,0.103,23.407,0.112,,,0.535,0.301
J121853.70+471900.7,24.102,184.723755,47.316872,24.71,0.103,23.666,0.159,,,0.467,0.283
J121851.62+471840.1,24.182,184.715103,47.311134,24.381,0.182,23.373,0.15,,,0.555,0.29
J121852.77+471847.6,24.418,184.719894,47.313225,25.524,0.173,24.113,0.203,,,0.492,0.35
J121848.22+472016.9,24.508,184.700928,47.338024,25.162,0.1,23.916,0.111,,,0.508,0.351
J121858.43+471803.6,24.734,184.743454,47.301003,24.928,0.297,23.896,0.298,,,0.598,0.453
J121900.35+471533.1,24.807,184.751465,47.259197,24.403,0.124,23.402,0.093,,,0.631,0.365
J121850.67+471844.7,24.856,184.711136,47.312405,24.053,0.103,23.333,0.14,,,0.401,0.274
J121851.38+471842.0,24.962,184.714081,47.311676,24.684,0.222,23.7,0.182,,,0.594,0.329
